run_n;split;subsplit;acc_train_fin;acc_test_fin
runS0_E001;S0;na;0.66;0.66
runS0_E002;S0;na;0.77;0.80
runS0_E003;S0;na;0.72;0.72
runS0_E004;S0;na;0.72;0.72
runS0_E005;S0;na;0.72;0.75
runS0_E006;S0;na;0.61;0.61
runsS2a_E001;S2;a;0.5;0
runsS2a_E002;S2;a;0.88;0
runsS2a_E003;S2;a;0.72;0
runsS2b_E001;S2;b;0.77;0
runsS2b_E002;S2;b;0.72;0
runsS2b_E003;S2;b;0.88;0
runsS3a_E001;S3;a;0.61;0
runsS3a_E002;S3;a;0.77;0
runsS3a_E003;S3;a;0.61;0
runsS3b_E001;S3;b;0.55;0.5
runsS3b_E002;S3;b;0.83;0
runsS3b_E003;S3;b;0.66;0
runs_S4_E001;S4;na;0.63;0
runs_S4_E002;S4;na;0.69;0
runs_S4_E003;S4;na;0.53;0.33
runs_S4_E004;S4;na;0.66;0.16
runs_S4_E005;S4;na;0.76;0
runs_S4_E006;S4;na;0.73;0
