Sample;Seed;n_int;Dec_int;Epochs;LR;T;Acc_fin;;Note
19a;1;3;na;50;.01;1;88;;
19b;2;3;na;50;.01;1;100;;
19c;3;3;na;50;.01;1;88;;
20a;1;5;na;50;.01;1;40;;
20b;2;5;na;50;.01;1;40;;
20c;3;5;na;50;.01;1;47;;
21a;1;9;na;50;.01;1;11;;
21b;2;9;na;50;.01;1;8;;
21c;3;9;na;50;.01;1;7;;
22a;1;5;na;500;.01;1;75;;converges after 70
22b;2;5;na;2500;.01;1;75;;converges after 70
23a;1;5;na;70;.01;1;75;;
23b;2;5;na;70;.01;1;na;;
23c;3;5;na;70;.01;1;na;;
24a;1;9;na;70;.01;1;na;;
25a;1;9;na;150;.01;1;na;;
26a;1;7;7;50;.01;1;22;;
27a;1;7;7;100;.01;1;57;;
28a;1;7;7;50;.1;1;14;;
28b;2;7;na;50;.1;1;6;;
29a;1;7;na;50;.01;3;22;;
30a;1;7;na;100;.01;3;59;;
31a;1;7;na;250;.01;1;59;;
32a;1;6;na;50;.01;1;27;;
32b;2;6;na;50;.01;1;30;;
32c;3;6;na;50;.01;1;41;;
33a;1;6;na;100;.01;1;47;;
33b;2;6;na;100;.01;1;55;;
33c;3;6;na;100;.01;1;72;;
33d;4;6;na;100;.01;1;44;;
33e;5;6;na;100;.01;1;50;;
33f;6;6;na;100;.01;1;52;;
34a;1;5;5;80;.001;1;20;;
38a;1;6;7;120;.01;3;66;;v05_03
38b;2;6;7;120;.01;3;80;;will_use_38
38c;3;6;7;120;.01;3;77;;
39a;1;6;7;120;.01;5;66;;
40a;1;6;7;120;.01;5;41;;
41a;1;6;7;120;.01;5;47;;
